played_at,track_name,artists,album,duration_ms,spotify_url
2025-11-07T00:28:57.040Z,The Devil in I,Slipknot,.5: The Gray Chapter (Special Edition),342821,https://open.spotify.com/track/5hheGdf1cb4rK0FNiedCfK
2025-11-07T00:22:01.303Z,Snot,Snot,Get Some,201933,https://open.spotify.com/track/3qCQNtggJw1gxoptMgDhyR
2025-11-07T00:16:29.061Z,Aerials,System Of A Down,Toxicity,235053,https://open.spotify.com/track/4e9eGQYsOiBcftrWXwsVco
2025-11-07T00:12:32.896Z,Dethrone,Bad Omens,Finding God Before God Finds Me,209134,https://open.spotify.com/track/7snWQ5w7rOx5ZhERKIyOuF
2025-11-07T00:06:32.977Z,Lying from You,Linkin Park,Meteora (Bonus Edition),175053,https://open.spotify.com/track/4qVR3CF8FuFvHN4L6vXlB1
2025-11-07T00:03:37.884Z,Duality,Slipknot,Vol. 3: The Subliminal Verses (Special Edition),252613,https://open.spotify.com/track/61mWefnWQOLf90gepjOCb3
2025-11-06T23:56:05.319Z,One Step Closer,Linkin Park,Hybrid Theory (Bonus Edition),157333,https://open.spotify.com/track/3K4HG9evC7dg3N0R9cYqk4
2025-11-06T23:53:27.067Z,Chop Suey!,System Of A Down,Toxicity,210240,https://open.spotify.com/track/2DlHlPMa4M17kufBvI2lEN
2025-11-06T23:44:22.643Z,Toxicity,System Of A Down,Toxicity,218933,https://open.spotify.com/track/0snQkGI5qnAmohLE7jTsTn
2025-11-06T23:41:10.433Z,Monster,Skillet,Awake,178013,https://open.spotify.com/track/2UREu1Y8CO4jXkbvqAtP7g
2025-11-06T23:37:44.925Z,Wait and Bleed,Slipknot,Slipknot,147840,https://open.spotify.com/track/15DLl1r2zi07Ssq5RT1yT0
2025-11-06T23:35:14.917Z,Redneck,Lamb of God,Sacrament (15th Anniversary Edition),220880,https://open.spotify.com/track/1WZVnw0YWc7OLkVijEargx
2025-11-06T23:31:32.076Z,Unholy Confessions,Avenged Sevenfold,Waking The Fallen,283826,https://open.spotify.com/track/78XFPcFYN8YFOHjtVwnPsl
